"ATTACHMENTS","إرفاق ملفات"
"Project Results","نتائج المشروع"
"Result Text","نص النتيجة"
"Problem & Reasons","المشكلة والأسباب"
"Problem Reasons","أسباب المشكلة"
"Project Beneficiary","المستفيدين من المشروع"
"Beneficiary Type","انواع المستفيدين"
"Beneficiary Age","الفئات العمرية للمستفيدين"
"Beneficiary Method","طرق الاستفادة"
"Beneficiary Count","عدد المستفيدين"
"Beneficiary Location","المكان المستهدف للمستفيدين"
"Implementing Partner","الشركاء التنفيذيين"
"Partner Name","اسم الشريك"
"Partner Percent","نسبة المشاركة"
"Coordinator","المنسق"
"Create fiscal year for date {0}"," أنشئ سنة مالية للتاريخ {0}"
"Dependent Project","المشاريع المرتبطة"
"Type ","نوع العلاقة"
"Success Criteria","معايير النجاح"
"Criteria Name","إسم المعيار"
"Criteria Description","وصف المعيار"
"Business reasons","الأسباب التجارية"
"Reason Name","تسمية السبب"
"Project Objectives","أهداف المشروع"
"Objective Name","الهدف"
"Project Scope","مدى المشروع"
"Scope Name","تسمية المدى"
"Project has not Calendar !!","المشروع لا يملك تقويم زمني"
"'Update Progress Information'","تحديث معلومات التقدم "
"Update work as Completed through this Date","تحديث العمل كمكتمل من التاريخ المحدد"
"'Status Date'","تاريخ الحالة"
"Tasks has been Updated","المهام تم تحديثها"
"Status Date out of project Period Time !!","تاريخ الحالة خارج مدة المشروع"
"Update Project","تحديث المشروع"
"Rescheduling Project","إعادة جدولة المشروع"
"Reschedule uncompleted work to start after:","إعادة جدولة العمل الغير منتهي ليبدا بعد  "
"Reschedule with Project Calendar","إعادو جدولة بناء على تقويم المشروع"
"It will update Expected Start and end date of the project as long as Tasks dates that Belong to Project.<br><br><b>Are you Sure about Applying this Procedure ?</b>","سوف يتم تحديث تاريخ بداسة ونهاية المشروع المتوقع وتواريخ بداء وانتهاء المهام التابعة للمشروع"
"Reschedule Project updated successfully","تم اعادة الجدولة بنجاح"
"Update work as Completed through this Date","تحديث العمل كمكتمل قبل تاريخ "
"Risk Name","وصف الخطر"
"Project Risks And Issues","تقرير مشاكل ومخاطر المشاريع"
"Risks And Issues","المخاطر والمشاكل"
"Risks count","عدد المخاطر"
"Issues Count","عدد المشاكل"
"Recurring Tasks Tool","أداة المهام المتكررة"
"Recurrence Tasks information","معلومات المهام المتكررة"
"Add Tasks","إضافة مهام"
"Recurrence Pattern","نمط التكرار"
"Daily","يومياً"
"Yearly","سنوياً"
"Every","التكرار كل .."
"How long is the period between Recurring?","كم هي الفترة بين التكرارات؟"
"Which day of the month do you want (as number)?","اكتب اليوم الذي تريد من الشهر (بالرقم)"
"Task name is not Set !","لم تقم بتعيين إسم للمهمة ..!"
"Project is not set","لم تقم بتعيين مشروع ..!"
"Start Date and End date is not set !","لم تقم بتعيين تواريخ البدء والإنتهاء ..!"
"Duration Time can not be zeros ","لايمكن أن تكون قيمة الفترة (0) صفر ..!"
"Select a value in Ways","قم باختيار قيمة لـ الطريقة"
"Task Date is bigger than project end date","تاريخ المهمة يأتي بعد تاريخ المشروع ..!"
"Select days frist","""قم باختيار 'يوم' أولاً"
"successfully Tasks added"," تم إضافة المهام بنجاح"
"On day {0} of the month","في اليوم الـ {0} من الشهر"
"Every Month(s)","في كل شهر/أشهُر .."
"Every {0} day(s)","تكرار كل {0} يوم/أيام"
"Every {0} week(s)","تكرار كل {0} أسبوع/أسابيع"
"Ways","الطريقة"
"By Date","بحسب تاريخ اليوم"
"By Days","بحسب الأيام"
"For","تكرار في .."
"workdays","أيام العمل فقط"
"days","جميع الأيام"
"Range of Recurrence","الفترة التي سيتم فيها التكرار"
"The","في الـ"
"Frist","الأول"
"Second","الثاني"
"Third","الثالث"
"Fourth","الرابع"
"Last","الأخير"
"Recurring every?","تكرار كل .."
"Recurring every {0} {1} of the month","التكرار عند {1} {0} من الشهر"
"Resource Tool","أداة إضافة المصادر"
"Resource Project","المشروع"
"Pick a project to add a resource to","قم باختيار المشروع الذي تريد أن تضيف له موارد"
"Resource","قائمة الموارد"
"Resource Name","إسم المَورد"
"Resource Type","النوع"
"Max Unit","العدد الأقصى للوحدات"
"Standard Rate","السعر القياسي"
"Standard Unit","الوحدة القياسية"
"Please select the Project","قم بإختيار مشروع أولاً!"
"Creating {0} Invoice","يتم الآن إنشاء {0} فاتورة"
"resource item created","تم إنشاء المصادر بنجاح"
"Auto","تلقائياً"
"For 'Budget Limit' you have to set a value Less-Than or Equal To","يجب أنت تكون قيمة سقف الميزانية أقل من أو تساوي"
"For 'Cost' you have to set a value Less-Than or Equal To","يجب أنت تكون قيمة التكلفة أقل من أو تساوي"
"You can't save this Project, The Program {} budget limit has been exceeded","لايمكن حفظ هذا المشروع, لقد تم تجاوز سقف الميزانية للبرنامج {}."
"You can't save this Task, The Project {} budget limit has been exceeded","لايمكن حفظ هذه المهمة, لقد تم تجاوز سقف الميزانية للمشروع {}."
"The Project budget limit cost can't be greater than","سقف ميزانية المشروع يجب أن يكون أصغر من أو يساوي"
"The Task cost can't be greater than","تكلفة المهمة يجب أن تكون أقل من أو تساوي"
"Total Budget Limit of Projects","إجمالي سقف الميزانية للمشاريع"
"Total Cost of Tasks","إجمالي التكلفة للمهام"
"of Projects","للمشاريع"
"the Project budget limit","سقف ميزانية المشروع"
"Project Budget Limit","سقف ميزانية المشروع"
"The Project budget limit","سقف ميزانية المشروع"
"the Program budget limit","سقف ميزانية البرنامج"
"Program Budget Limit","سقف ميزانية البرنامج"
"The Task cost","تكلفة المهمة"
"This Project budget limit","سقف ميزانية هذا المشروع"
"This Task cost","تكلفة هذة المهمة"
"The variance = {}","مقدار الفارق = {}"
"Auto Scheduling","جدولة تلقائية"
"Manual Scheduling","جدولة يدوية"
"Task Mode","وضع المهمة"
"Duration in days","الفترة بالأيام"
"Has Log Frame","يوجد إطار منطقي"
"Task Resource Request","طلب موارد المهمة"
"Work Type","نوع العمل"
"Unit Type","نوع الوحدة"
"Actual Time (in hours)","الوقت الفعلي (بالساعة)"
"Constraint Type","نوع القيد"
"Constraint Date","تاريخ القيد"
"Users works on","المستخدمين العاملين عليها"
"All Tasks","جميع المهام"
"Add Multiple","إضافة متعدد"
"Add Multiple Tasks","إضافة العديد من المهام"
"Subject","العنوان"
"'Create'","'إنشاء'"
"Progress must be bigger that Zero","مستوى التقدم يجب أن يكون أكبر من (0) صفر."
"Timesheet","سجل الدوام"
"View","إستعراض"
"Cannot convert it to non-group. The following child Tasks exist: ${r.message.join(', ')}.","لا يمكن جعل المهمة 'غير مهمة' لأن المهام التالية تابعة لها كأبناء: ${r.message.join(', ')}."
"Make Auto Scheduling for Tasks","عَمَل جدولة تلقائية للمهام"
"Continue, Avoid this constraint by useing 'Finish No Earlier Than' constraint","متابعة، تجنب هذا القيد باستخدام القيد 'لا تنتهي قبل'."
"Continue, Avoid this constraint by useing 'Start No Earlier Than' constraint","متابعة، تجنب هذا القيد باستخدام القيد 'لا تبدأ قبل'."
"Cancel, no constraint","إلغاء، بدون قيد"
"Select Action","قم باختيار إجراء"
"This selected constraint '${frm.constraint_type}' will make confilict in scheduling ..!","هذا القيد '${frm.constraint_type}' سيُحدِث تعارض في الجدولة ..!"
"Continue, The constraint '${frm.doc.constraint_type}' will be set","متابعة، سيتم تعيين القيد '${frm.doc.constraint_type}'"
"Sorry not saved because expected start date is not working day ..!","لا يمكن الحفظ لأن تاريخ البدء المتوقع ليس يوم من أيام العمل ..!"
"{0} can not be greater than {1}","{0} لا يمكن أن أكبر من {1}"
"Can not close task {0} as its dependant task {1} is not closed.","لا يمكن إغلاق المهمة {0} لأن المهمة التابعة لها {1} لم تُغلَق بعد."
"Progress % for a task cannot be more than 100.","مستوى التقدم % للمهمة لا يمكن أن يكون أكثر من 100."
"Task {} in project {} is Assigned To You","""المهمة {} في المشروع {} قد أُوكِلت إليك""
,""Circular Reference Error"
"This task will start before project start","هذه المهمة ستبدأ قبل أن يبدأ المشروع"
"This task will end after project start","هذه المهمة ستنتهي بعد أن ينتهي المشروع"
"Child Task exists for this Task. You can not delete this Task.","لا يمكنكك حذف هذه المهمة، هناك مهام مرتبطة بها (أبناء)"
"Please make sure the constraint","يرجى التأكد من القيد"
"Please add constriant date","يرجى إضافة تاريخ للقيد"
"Task's {0} Start Date cannot be after Project's End Date.","تاريخ بدء المهمة {0} لا يمكن أن يكون بعد تاريخ إنتهاء المشروع ..!"
"Task {0} has no tasks","المهمة {0} لا تندرج منها أية مهمة  ..!"
"Task {0} is not phase.","المهمة [{0} ليست مرحلة."
"Some tasks have no project ..!","بعض المهام ليس لديها مشروع ..!"
"These tasks not in same project ..!","هذه المهام ليست ضمن مشروع واحد ..!"
"Remind for late task: {}","تذكير بتأخر المهمة: {}"
"Task {} in project {} is  Not Completed in date {}","المهمة {} في المشروع {} لم تنتهي في التاريخ المحدد {} ..!"
"Costing","التكاليف"
"As late As Possible","متأخراً قدر الإمكان"
"As Soon As Possible","في أقرب وقت ممكت"
"Finish No Earlier Than","لا تنتهي قبل"
"Finish No Later Than","لا تنتهي بعد"
"Must Finish On","يجب أن تنتهي في"
"Must Start On","يجب أن تبدأ في"
"Start No Earlier Than","لا تبدأ قبل"
"Start No Later Than","لا تبدأ بعد"
"Assign Requested Resource","اسناد طلب مورد"
"No Request Selected !!","لم يتم اختيار طلب !!!"
"Deadline Date Can not be before Excepted Start Date or Excepted End Date","تاريخ الموعد النهائي لا يمكن أن يكون قبل تاريخي البدء أو الانتهاء المتوقع"
"This task Finish on {0} Which is later than its Deadline on {1}","تنتهي هذه المهمة في {0} وهو متأخر عن الموعد النهائي المحدد في {1}"
"This task {2} Finish on {0} Which is later than its Deadline on {1}","هذه المهمة {2} تنتهي في {0} أي بعد الموعد النهائي المحدد في {1}"
"This task {2} Finish on {0} Which is later than its Deadline on {1} Check it","هذه المهمة {2} تنتهي في {0} أي بعد الموعد النهائي المحدد في {1}"
"Mark on Track","التعليم كمنجز على مسار "
"Set Task Progress Information as Planned in {}  ?","ادخال المعلومات التقدم للمهام كماهو مخطط له"
"Work (In hours)","العمل (بالساعات)"
"Actual Work (In hours)","العمل الفعلي(بالساعة)"
"Task Resource Requests","طلبات الموارد للمهام"
"Duration","المدة"
"Deadline Date","تاريخ الموعد النهائي"
"Task Info","معلومات اضافية"
"Effort Driven","الجهد المطلوب"
"Lag","تتخلف عن"
"Is Summary Task","خلاصة مهام"
"Serial Number","رقم تسلسلي"
"Physical Progress (Completion)","نسبة الأنجاز الفعلي"
"Actual Duration","المدة الفعلية"
"Constraints","القيود"
"Task Assigned Resources","الموارد المسندة للمهمة"
"'Replace Generic Resource'","استبدال مورد عام"
"Resource","المورد"
"Percent","النسبة"
"Replace Generic Resource Updated successfully","تم تحديث المورد العام بنجاح"
"Are you sure you want to create Task Resource Request ?","هل تريد انشاء طلب للموارد لهذا المشروع ؟"
"Tasks Updated successfully","تم تحديث المهام بنجاح"
"Work","مورد عمل"
"Cost","مورد تكلفة"
"Material","مورد مادة"
"hr","ساعة"
"day","يوم"
"mon","شهر"
"yr","سنة"
"Resource Item Tool","أداة إضافة المصادر"
"Resource Item Tool","أداة إضافة المصادر"
"Resource Item Tool","أداة إضافة المصادر"
"You can only upload JPG, JPEG, PNG or PDF files.","يمكنك فقط رفع ملفات من نوع PNG, JPG, JPEG أو PDF."
"Burn-Down Chart","مخطط مستوى الإنجاز"
"Duplicate Project with Tasks","إنشاء نسخة من المشروع مع المهام"
"Burn Down Chart","مخطط مستوى الإنجاز"
"Taskes Progressing","مستوى تقدم المهام"
"Project Progressing","مستوى تقدم المشروع"
"Completed","مُنجز"
"Uncompleted","مُتبقي"
"Tasks List","قائمة المهام"
"Projects List","قائمة المشاريع"
"Task Update","تحديث المهام"
"Notify for","إشعار لـ"
"Reminder Option","خيارات التذكير"
"Reminder Base On","تذكير بناءً على"
"Progress %","نسبة الانجاز %"
"Progress","نسبة الانجاز"
"Status","الحالة"
"Selected Status","الحالة المختارة"
"Sent","تم الإرسال"
"Date Fields","حقول التاريخ"
"Send Reminder Base on","إرسال مذكر بناء على"
"Days After","بعد أيام"
"Days Before","قبل أيام"
"act_end_date","تاريخ الانتهاء الفعلي"
"act_start_date","تاريخ البداية الفعلية"
"exp_end_date","تاريخ الانتهاء المتوقع"
"exp_start_date","تاريخ البدء المتوقع"
"Send Email Notify","إرسال إيميل بالإشعار"
"Holiday List","قائمة العطلات"
"Working Time","وقت العمل"
"Working Hours (On Day)","ساعات العمل في اليوم"
"Week Start on"," الاسبوع يبدا من"
"Times","الاوقات"
"Hours per Week","ساعات العمل في الاسبوع"
"Days per Week","اسام العمل في الاسبوع"
"Days Per month","ايام العمل في الشهر"
"Working Days","ايام العمل"
"Program Manager","مدير برنامج"
"Duplicate Holiday List","تكرار قائمة العطل"
"Work Week","اسبوع العمل"
"Monday","الإثنين"
"Calendar","التقويم"
"From","من"
"To","حتّى"
"Week End","نهاية الأسبوع"
"Period","الفترة"
"Holiday Type","نوع الإجازة"
"Weeks can not be bigger than 7 days","الاسبوع لايمكن ان يكون اكبر من 7 ايام"
"Months can not be bigger than 31 days","الشهر لايمكن ان يكون اكبر من 31 يوم"
"Enter Details","أدخل التفاصيل"
"Duplicate Holiday List has been created","تم تكرار قائمة العطل"
"save the form frist"," إحفظ البيانات أولاً"
"day is not selected.","لم يتم تحديد اليوم!"
"Please select weekly off day","الرجاء ادخال عُطَل نهاية الاسبوع "
"To Date cannot be before From Date","تاريخ الإنتهاء لايجب أن يكون قبل تاريخ البدء!"
"The holiday on {0} is not between From Date and To Date","العطلة في {0} ليسة ضمن نطاق تاريخ البدء والإنتهاء للتقويم"
"Use a name that is different from previous holiday list name","إستخدم إسم يختلف عن قائمة العُطَل السابقة! "
"Log Frame","الإطار المنطقي"
"Log Frame for","إطار منطقي لـ"
"Text Type","نوع النص"
"Risks and Assumption","المخاطر والافتراضات"
"Assumption","الافتراضات"
"Outcome","نتيجة"
"Output","مُخرج"
"Goal (Result)","(النتيجة)الهدف"
"Parent","تابع لـ"
"LogFrames","الإطار المنطقي"
"Log Frame Tree","شجره الإطار المنطقي"
"LogFrames","الإطار المنطقي"
"Subject","العنوان"
"Indicators","المؤشرات"
"New Indicator","إضافة مؤشر"
"Create Indicator for {0}","أنشاء مؤشر لأجل {0}"
"Indicator Name","اسم المؤشر"
"Value Option","خيار القياس"
"Type","النوع"
"Parent Indicator","مؤشر المجموعة"
"Is Group","يُعتبر مجموعة (أب)"
"Add New","إضافة جديد"
"Index","التسلسل"
"Parent is not Goal type !!","!!(Goal) المجموعة التي إخترتها ليست هدف"
"Parent is not Outcome type !!","!!(Outcome) المجموعة التي إخترتها ليست نتيجة"
"Set the Goal frist for this document.","أدخل هدف لهذه الوثيقة."
"Document has just One Goal!","لا يمكن للوثيقة أن تمتلك أكثر من هدف واحد فقط!"
"Child Output exists for this Outcome, You can not delete this Element.","لا يمكن حذف هذا العنصر, هناك مخرجات مرتبطة به!"
"Cannot convert it to non-group. Child element exist.","لا يمكن تحويل هذا من مجموعة إلى عنصر! يوجد عناصر تنتمي إليه."
" {0}s added successfully","{0} تمت الإضافة بنجاح"
"Subject Text","النص"
"Output","النتيجة"
"Log Frame for","إطار منطقي ل"
"Log Frame Assumption","إفتراظات الإطار المنطقي"
"Minor","ثانوي"
"Critical","حَرِج"
"Indicator","المؤشرات"
"Indicator Name","اسم المؤشر"
"Value Type","نوع القياس"
"Parent Indicator","المؤشر المجموعة"
"Log Frame","الإطار المنطقي"
"Indicator For","مؤشر لاجل"
"Annually","سنوياً"
"Quarterly","ربع سنوي"
"Monthly","شهرياً"
"Result","النتائج"
"Biannually","نصف سنوي"
"One-Off","مرة واحدة"
"Baseline","قيمة خط الأساس"
"Baseline Date","تاريخ خط الأساس"
"Target Date","تاريخ المستهدف"
"Weekly","أسبوعياً"
"Simple","بسيط"
"Complex","مُركَّب"
"You do not have Permissions for submitting document or lock Indicator","انت لاتمكل الصلاحيات لتحديث الوثيقة او لاقفال المؤشر"
"Unlock Indicator","فتح المؤشر"
"Lock Indicator","اقفال المؤشر"
"Indicator Value","قيم المؤشر"
"Indicator","المؤشرات"
"Evidence","الدليل"
"Indicator has only one Baseline Value!","المؤشر لديه فقط خط أساس واحد فقط..!"
"Indicator Responsible","مسؤول المؤشر"
"Responsible Name","اسم المسؤول"
"Is User","مستخدم للنظام"
"Indicator Source","مصدر المؤشر"
"Baseline","خط أساس"
"Baseline For","خط أساس لـ"
"Document","وثيقة"
"Selected Document","الوثيقة المختارة"
"Baseline Name","إسم خط الأساس"
"Baseline Date"," تاريخ خط الأساس"
"Color Gantt Chart","اللون في مخطط جانت"
"You Must Choose One and Less Than Three","يجب أن تختار واحد على الأقل وليس أكثر من ثلاثة"
"The project baseline should always come in-between the planning phase and the start of the project. You should only re-baseline when you have major changes in your project such as: delays overrun of budget or loss of key resources","يجب أن يأتي خط الأساس للمشروع دائمًا بين مرحلة التخطيط وبداية المشروع. يجب عليك إعادة تحديد خط الأساس فقط عندما يكون لديك تغييرات كبيرة في مشروعك مثل: التأخير تجاوز الميزانية أو فقدان الموارد الرئيسية"
"Is Show In Gantt","عرض في مخطط جانت"
"Task Baseline","خط اساس المهمة"
"Task Name","إسم المهمة"
"Task Start Date","تاريخ بداية المهمة"
"Actual Start Date ","التاريخ الفعلي لبداية المهمة"
"Actual End Date ","التاريخ الفعلي لانها المهمة"
"Task Duration","مده المهمة"
"Task End Date","تاريخ نهاية المهمة"
"Task Cost","تكلفة المهمة"
"Task Work","عمل المهمة"
"Projects Baseline","خط أساس المشاريع"
"Project Name","إسم المشروع"
"Expected Start Date","تاريخ البدء المتوقع"
"Expected End Date","تاريخ الانتهاء المتوقع"
"Actual Start Date","تاريخ البدء الفعلي"
"Actual End Date","تاريخ الانتهاء الفعلي"
"Project Duration","مُدَة المشروع"
"Project Cost","تكلفة المشروع"
"Project Work","العمل في المشروع"
"Progress %","نسبة الإنجاز %"
"Project Duration","مدة المشروع"
"Resource Price List","قائمة الأسعار للموارد"
"Project Baseline","خط أساس المشروع"
"Program","برنامج"
"Programs","برنامج"
"Estimated Budget","الميزانية المتوقعة"
"Code Or Short Name","الكود"
"Budget Status","حالة الميزانية"
"Budget Year","سنة الميزانية"
"Initiating","البدأ"
"Portfolio","محفظة"
"Lead Partner","الشريك الرئيسي"
"Program Donor","ممول البرنامج"
"Optional Field","الحقول الاختيارية"
"Optional Field Assigned","الحقول الاختيارية المسندة"
"Log Frame Report"," تقرير الإطار المنطقي"
"PROJECT SUMMARY","ملخص المشروع"
"INDICATORS","المؤشرات"
"BASELINE","القيمة الأساسية"
"TARGET","القيمة المستهدفة"
"ASSUMPTIONS","الافتراضات"
"name","رقم"
"Objective statements"," البيانات الموضوعية"
"Indicators","المؤشرات"
"Assumptions","الافتراضات"
"Target","المستهدف"
"Baseline","خط الأساس"
"Export To Document","تصدير الى مستند"
"Please Choose Values for filters first.","الرجاء اختيار قيم أولا"
"LogFrame","إطار منطقي"
"logframe","إطار منطقي"
"Projects","المشاريع"
"projects","المشاريع"
"Resources","الموارد"
"resources","الموارد"
"Cost Per Hour","تكلفة الساعة"
"Optional Field Name","إسم الحقل الاختياري"
"Optional Field Item","عناصر الحقول الاختيارية"
"Field Label","عنوان الحقل"
"Document Name","إضافة الحقل إلى"
"Field Name","إسم الحقل"
"Field Value","قيمة الحقل"
"Document File","وثيقة"
"Document Name","إسم الوثيقة"
"Category","الفئة (التصنيف)"
"Document","الوثيقة"
"Description","الوصف"
"Document File Category","فئة وثيقة البرنامج"
"Category Name","إسم الفئة (التصنيف)"
"Project Issue","مشكلة المشروع"
"Title","العنوان"
"Owner","المالك"
"Assigned To","مخصص لـ"
"Category","الفئة (التصنيف)"
"Priority","الأولوية"
"Due Date","تاريخ الاستحقاق"
"Documents","الوثائق"
"Discussion","النِّقاش (الحِوار)"
"Resolution","الرؤية والحلول"
"Active","نَشِط"
"Postponed","مُؤجَّل"
"Closed","مُغلَق"
"High","عالية"
"Medium","متوسطة"
"Project Notification","إشعار المشروع"
"Send Alert On","إرسال تحذير عند .."
"Value Change","تغير القيمة"
"Save","الحفظ"
"Document Type","إشعار لـ"
"Main Value","القيمة الرئيسية"
"Receiver","المستقبل"
"Send Alert On","إرسال إشعار عند .."
"Save","الحفظ"
"Value Change","تغيير القيمة"
"Value Changed","تم تغيير القيمة"
"Operator","طريقة المقارنة"
"Equal","يساوي"
"Bigger Than","أكبر من"
"Smaller Than","أصغر من"
"Not Equal","لا يساوي"
"Condition","الشرط"
"Amended From","تم التعديل من"
"Advance Notification","إشعارات متقدمة"
"Reference Notify","إخطار المرجع"
"Notification","إشعار"
"Slack Channel","قناة slack"
"Slack","Slack"
"Project Output","مُخرَج لمشروع"
"Output Name","إسم المُخرَج"
"Project Risk","خَطَر لمشروع"
"You can only upload JPG, JPEG, PNG, DOC, DOCX, XLSX or PDF files.","يمكنك فقط رفع ملفات من نوع PNG, JPG, JPEG, DOC, DOCX, XLSX, أو PDF."
"{1} - You Assigned to work on this {2} {0}","{1} - لقد تم اختيارك للعمل في {2} {0}"
"Risk Title","تسمية مختصرة للخطر"
"Owner","المالك"
"Assigned To","المُوكَل إليه"
"Risk Type","نوع الخطر"
"Active","نَشِط"
"Postponed","مُؤَجَّل"
"Closed","مُغلَق"
"External","خارجي"
"Internal","داخلي"
"Probability","الاحتمالية"
"Impact","التأثير"
"Cost","التكلفة"
"Time","الوقت"
"Completion","التقدم"
"duration","المدة"
"Mitigation Plan","خطة التخفيف"
"Project Type","نوع المشروع"
"You cannot delete Project Type 'External'","لا يمكنك حذف مشروع من نوع 'خارجي'"
"Welcome email sent","تم إرسال البريد الإلكتروني الترحيبي"
"Task Notification","إشعارات المهام"
"Notify for Overdue Task","الإشعار بالمهام المتأخرة"
"Project Settings","اعدادات المشروع"
"New tasks are effort driven","المهام الجديدة مدفوعة بالجهد"
"Show Tasks Scheduled Warning","إظهار تحذير المهام المجدولة"
"Show Tasks Scheduled Suggestion","عرض اقتراح المهام المجدولة"
"Duration Entry Time","تحديد نوع الوقت"
"{ default : Day }","{افتراضي: يوم}"
"Resource Settings","اعدادات الموارد"
"Default Fixed Cost Accrual","التكلفة الثابتة الافتراضية"
"Base Calendar","التقويم الافتراضي"
"Minutes Text","نص الدقائق"
"Week Text","نص الأسبوع"
"Hour Text","نص الساعة"
"Month Text","نص الشهر"
"Day Text","نص اليوم"
"Year Text","نص السنة"
"Display Options For Time","خيارات العرض للوقت"
"Fixed Unit","نسبة ثابتة"
"Fixed Work","مدة عمل ثابتة"
"In System","داخل النظام"
"Fixed Duration","مدة ثابتة"
"Deadline Notification","إشعار الموعد النهائي"
"General Projects Settings","إعدادات المشروع العامة"
"Allow linking resource with account","تمكين ربط المَورد بحساب"
"Project Settings Single","اعدادات المشاريع"
"Setting Name","عنوان الإعدادات"
"Task Resource Request","طلب مَورِد للمهمة"
"Resource","المَورِد"
"Resource Type","نوع المَورِد"
"Resource Name","إسم المَورِد"
"Assignment Owner","صاحب التعيين"
"Unit","الوحدة"
"Material Unit","وحدة المادة"
"Cost","تكلفة"
"Time","الوقت"
"Completion","التقدم"
"duration","المدة"
"Material","مادَّة"
"Work","عمل"
"Total Cost","إجمالي التكلفة"
"Has Comment","لدية تعليق"
"Comment","التعليق"
"Actual Work Hour","ساعات العمل الفعلية"
"Work Hour","ساعات العمل"
"Task Depends On","المهمة تعتمد على"
"Task","المهمة"
"Finish-to-Start (FS)","تبدأ لتنتهي"
"Start-to-Start (SS)","تبدأ لتبدأ"
"Finish-to-Finish (FF)","تنتهي لتنتهي"
"Start-to-Finish (SF)","تبدأ لتنتهي"
"Lead And Lag","التقدم والتأخر"
"Lag Or Lead Value","قيمة التقدم أو التأخر"
